Patient Dose           AUC_ratio     AUC_min     AUC_max
1       IV_005_SLE        11.564       5.506      24.819
10      IV_005_SLE         1.521       0.759       3.070
80      IV_005_SLE         0.184       0.098       0.343
400     IV_005_SLE         0.036       0.019       0.069
1       IV_03_SLE         18.580       9.463      35.060
10      IV_03_SLE          2.688       1.236       6.802
80      IV_03_SLE          0.196       0.118       0.324
400     IV_03_SLE          0.037       0.022       0.062
1       IV_1_SLE          22.183      12.802      38.041
10      IV_1_SLE           8.788       3.522      19.373
80      IV_1_SLE           0.243       0.143       0.487
400     IV_1_SLE           0.038       0.024       0.062
1       IV_3_SLE          23.765      14.149      39.797
10      IV_3_SLE          16.462       8.752      28.797
80      IV_3_SLE           1.068       0.287       4.913
400     IV_3_SLE           0.042       0.025       0.072
1       IV_10_SLE         24.462      14.827      40.388
10      IV_10_SLE         21.479      13.072      34.820
80      IV_10_SLE          9.310       3.585      18.555
400     IV_10_SLE          0.139       0.038       1.443
1       IV_20_SLE         24.618      14.994      40.492
10      IV_20_SLE         23.054      14.327      36.760
80      IV_20_SLE         14.793       7.729      25.332
400     IV_20_SLE          1.763       0.269       7.701
1       IV_40_SLE         24.696      15.079      40.542
10      IV_40_SLE         23.906      15.064      37.768
80      IV_40_SLE         18.834      11.221      30.384
400     IV_40_SLE          7.111       2.223      16.386
1       IV_60_SLE         24.722      15.108      40.559
10      IV_60_SLE         24.191      15.315      38.102
80      IV_60_SLE         20.552      12.576      32.691
400     IV_60_SLE         10.722       4.434      21.293
